"Formatted Date,Temperature (øC)"
"15-04-21,30.2"
"16-04-21,29.6"
"17-04-21,30.1"
"18-04-21,31"
"19-04-21,30.3"
"20-04-21,30"
"21-04-21,29.9"
"22-04-21,30.3"
"23-04-21,30.2"
"24-04-21,29.4"
"25-04-21,30.8"
"26-04-21,30.8"
"27-04-21,31.1"
"28-04-21,30.5"
"29-04-21,30.6"
"30-04-21,30.2"
"01-05-21,31"
"02-05-21,31.1"
"03-05-21,31"
"04-05-21,31.3"
"05-05-21,30.9"
"06-05-21,30.7"
"07-05-21,30.8"
"08-05-21,30.7"
"09-05-21,31"
"10-05-21,31"
"11-05-21,30.5"
"12-05-21,30.7"
"13-05-21,30.6"
"14-05-21,30.6"
"15-05-21,32.7"
